Location ID,Suburb,Address,Post Code,GPS Lat,GPS Long,Job ID,Field Technician ID
5237Thome,Palm Beach,418 Cypress Terrace,4221,-28.104892,153.461403,5237Thome,5237
5241Thome,Parkwood Heights,31 Inverness Way,4214,-27.953372,153.376648,5241Thome,5241
5258Thome,Mermaid Waters,15 Tartan Court,4218,-28.04632,153.420161,5258Thome,5258
5320Thome,Parkwood,61 Daintree Drive,4214,-27.949808,153.353281,5320Thome,5320
5467Thome,Broadbeach Waters,7/ 2-10  T E Peters Drive,4218,-28.028164,153.426047,5467Thome,5467
5629Thome,Mermaid Waters,155 Markeri Street,4218,-28.046667,153.420124,5629Thome,5629
5630Thome,Tallebudgera,195 Tallebudgera Creek Road,4228,-28.1260414,153.4255251,5630Thome,5630
29535Thome,Carrara,13 Angaston Avenue,4211,-28.006297,153.353613,29535Thome,29535
483,Paradise Waters,2 Admiralty Drive,4216,-27.8335086,153.4213208,C1849656,5241
484,Broadbeach,179 Old Burleigh Road,4218,-28.0325417,153.4345853,C1849694,5237
485,Southport,33 Scarborough Street,4215,-27.97101078,153.4152087,C1849707,5320
486,Surfers Paradise,Gold Coast Highway and Staghorn Street,4217,-28.0011707,153.4283167,C1849785,5467
487,Carrara,Emerald Island Drive,4211,-28.0174457,153.3771027,C1849796,5237
488,Emerald Lakes Carrara,The Boulevard,4211,-28.0168966,153.3735431,C1849797,5237
489,Emerald Lakes Carrara,The Boulevard,4211,-28.0168966,153.3735431,C1849797,5467
490,Surfers Paradise,3032 Gold Coast Highway,4217,-28.0054369,153.4280733,C1849820,5467
491,Surfers Paradise,3051 Gold Coast Highway,4217,-28.0054369,153.4280733,C1849881,5237
492,Surfers Paradise,5-19 Palm Avenue,4217,-27.995944,153.4282739,C1849886,5467
493,Burleigh Heads,29 Hill Avenue,4220,-28.0920427,153.4490784,C1849899,5237
494,Kirra,Musgrave & Douglas Street,4225,-28.1683513,153.5384803,C1849948,5467
495,Gold Coast,20-24 Hughes Street,4217,-27.9780434,153.4255566,C1849963,5237
496,Varsity Lakes,251 Varsity Parade,4227,-28.0776308,153.4164931,C1849998,5237
497,Biggera Waters,Marine Parade and Taylor Street,4216,-27.8335086,153.4213208,C1850037,29535
498,Main Beach,3488 Main Beach Parade,4217,-27.9833366,153.4292688,C1850041,5467
499,Coolangatta,Marine Parade and Warner Street,4225,-28.1683513,153.5384803,C1850078,5629
500,Southport,10 Cloyne Road,4215,-27.9657861,153.4131764,C1850135,5320
501,Broadbeach,1 Britannia Avenue,4218,-28.0233321,153.4339627,C1850202,5237
502,Southport,"Scarborough and Nerang Streets
93000020628/633",4215,-27.96594633,153.413278,C1850248,29535
503,Mermaid Beach,116-118 Albatross Avenue,4218,-28.05244554,153.4396475,C1850287,5629
504,Main Beach,22 Montgomery Avenue,4217,-27.9758107,153.425641,C1850289,5320
505,Main Beach,22 Montgomery Avenue,4217,-27.9758107,153.425641,C1850289,29535
506,Southport,Parklands Drive,4215,-27.9673072,153.4145154,C1850306,5467
507,Southport,154A Scarborough Street,4215,-27.9636481,153.4115004,C1850358,29535
508,Main Beach,3488 Main Beach Parade,4217,-27.9833366,153.4292688,C1850368,5467
509,Southport,Parklands Drive,4215,-27.9673072,153.4145154,C1850376,29535
510,Coolangatta,88 Marine Parade,4225,-28.1674652,153.5392522,C1850397,1049
511,Coolangatta,110 Marine Parade,4225,-28.1678255,153.5415008,C1850405,5629
512,Surfers Paradise,Gold Coast Highway and Staghorn Street,4217,-28.0011707,153.4283167,C1850496,5467
513,Tweed Heads,Florence Street,2485,-28.1754507,153.5395358,C1850507,1049
514,Broadbeach,1 Britannia Avenue,4218,-28.0233321,153.4339627,C1850516,5237
515,Rainbow Bay,184-190 Marine Parade,4225,-28.1649557,153.5470277,C1850527,1049
516,Surfers Paradise,72-80 The  Esplanade,4217,-28.0045258,153.4175183,C1850633,1049
517,Southport,Nerang and Cougal Streets,4215,-27.97126891,153.4072968,C1850690,5320
518,Southport,Nerang and Cougal Streets,4215,-27.97126891,153.4072968,C1850690,29535
519,Southport,"Scarborough and Nerang Streets
93000020628/633",4215,-27.96594633,153.413278,C1850708,29535
520,Mudgeeraba,Somerset Drive and Springbrook Road,4213,-28.0229543,153.3477387,C1850736,5237
521,Coolangatta,72-80 Marine Parade,4225,-28.1674652,153.5392522,C1850829,1049
522,Main Beach,3488 Main Beach Parade,4217,-27.9833366,153.4292688,C1850833,5467
523,Tweed Heads,Wharf Street,2485,-28.17360924,153.5425965,C1850903,5629
524,Surfers Paradise,Gold Coast Highway and Staghorn Street,4217,-28.0011707,153.4283167,C1850904,5467
525,Southport,"Scarborough and Nerang Streets
93000020628/633",4215,-27.96594633,153.413278,C1851072,29535
526,Southport,50 Marine Parade,4215,-27.9672719,153.4165113,C1851106,5320
527,Tweed Heads,4 Minjungbal Drive,2485,-28.1868997,153.5228386,C1851116,1049
528,Runaway Bay,5 Canal Avenue,4216,-27.91938889,153.4055362,C1851118,29535
529,Surfers Paradise,18 Aubrey Street,4217,-28.01127135,153.4307177,C1851158,5241
530,Tweed Heads,5 Wharf Street,2485,-28.1686769,153.5437225,C1851172,1049
531,Broadbeach,167 Old Burleigh Road,4218,-28.0306876,153.4342526,C1851182,5237
532,Broadbeach,179 Old Burleigh Road,4218,-28.0325417,153.4345853,C1851219,5237
533,Coolangatta,72-80 Marine Parade,4225,-28.1674652,153.5392522,C1851220,1049
